name,link,category,businessDescription,longBusinessDescription,basedIn,tags,totalFunding,founded,website,linkedin,country,companyStatus
LessAdmin,https://www.eu-startups.com/directory/lessadmin-hr-management/,Norway,LessAdmin is the easy-to-use HR employee management system for startups and small businesses.,"Easily onboard, apply for vacation and absence, internal communication, birthdays, employee data and directory. LessAdmin is built in Europe and especially adapted for small European businesses looking for a reasonable system to increase employee satisfaction and productivity.",Oslo,"HR, employee directory, onboarding, HR management",Between €1-€100K,2021,https://www.lessadmin.com,,NO,
ZTL Payment Solution,https://www.eu-startups.com/directory/ztl-payment-solution/,Norway,A B2B platform that customized payment solutions that challenge the bank's transactions such as remittances or corporate payments.,,Oslo,"platform, B2B, payments",Between €5 million-€10 million,2021,https://ztlpay.io/,,NO,
Tatovering for deg,https://www.eu-startups.com/directory/tatovering-for-deg/,Norway,"Finn den rette tatovøren - for deg! Få gratis og uforpliktende tilbud fra lokale tatoveringsstudioer for din nye tatovering eller fra klinikker for tatoveringsfjerning.
Tjenesten er 100% gratis og uforpliktende.


Planlegger du en ny tatovering, eller kanskje å fylle på eller dekke til en gammel? Det finnes tusenvis av tatoveringsstudioer i Norge å velge mellom. Også om du ser etter en klinikk for fjerning av tatovering, er det mange valg. Tjenesten vår hjelper deg å orientere deg slik at du finner det rette stedet.


Alt du trenger å gjøre er å fylle ut skjemaet vårt (1-2 minutter) for å settes i kontakt de best egnede stedene i eget nærområde, enten du ønsker ny tatovering eller fjerne den du har: https://tatoveringfordeg.no/.",,Jaren,"tatovering, klinikk, ny tatovering",No funding announced yet,2021,https://tatoveringfordeg.no/,,NO,
Energi.ai,https://www.eu-startups.com/directory/energi-ai/,Norway,"Energi.ai is a net-zero AI platform. Energi.ai is a next-generation intelligent platform that allows businesses to swiftly implement AI climate solutions in the race to zero emissions. We wish to overcome the monumental task of achieving a net-zero planet. We support the United Nations' Sustainable Development Goals. We seek to repair the planet with data and technology. With origins in Norwegian ideals such as justice, equality, and trust. The Nordics are known as the ""Silicon Valley"" of the energy industry. It's time to take risks!
We are a group of Nordic tech entrepreneurs with extensive experience in renewable energy. We've spent the last five years collaborating with the world's top AI researchers and building enterprises for the greater benefit.",,Fornebu,Artificial Intelligence,No funding announced yet,2021,https://www.energi.ai/,,NO,
Dovetail,https://www.eu-startups.com/directory/dovetail/,Norway,"Dovetail invests in technology-enabled businesses, combining cash with practical competence in design, engineering, strategy, and finance. Dovetail places businesses on the path to long-term success by identifying digital opportunities to realise latent potential.
Across Northern Europe, we're looking for product and service companies. Apart from financing, we act as fast-paced partners, assisting businesses in becoming the best they can be.",,Oslo,"Asset Management, Business Development, Venture Capital",No funding announced yet,2021,https://dovetail.no/,,NO,
Breyta,https://www.eu-startups.com/directory/breyta/,Norway,Breyta is a CRM system tailored for SaaS companies that are product-led. Spend more time driving revenue with the right accounts at the right time.,,Oslo,"SaaS, Software",No funding announced yet,2021,https://breyta.io,,NO,
Journey Group,https://www.eu-startups.com/directory/journey-group/,Norway,"Journey Group is a creative, data-driven, results-focused and on a mission to help you grow. Journey is a performance marketing team of 50 bright minds across Norway and Sweden. We’re creative, data-driven, results-focused and on a mission to help you grow.

Our story began in 2013.
On one side of the Nordic border, Erling Løken Andersen founded Omega Media in Norway. On the other side, in Sweden, Fredrik Viktorsson founded Raw Digital. The two agencies experienced exponential growth until their paths joined to start a new adventure together under one name: Journey.",,Oslo,"Digital Marketing, Internet, Marketing",Between €1-€100K,2021,https://www.journeyagency.com/,,NO,
Mainbrainer,https://www.eu-startups.com/directory/mainbrainer/,Norway,"We integrate all the important modules that you need to run successful marketing campaigns. Mainbrainer is your all-In-One Marketing platform Easy-to-use, Landing page builder, Email and SMS marketing, CRM, Insights, API etc. Let us do the work for you! Setup, template creation, integration or campaign execution. We will tailor a team for your needs.",,Oslo,"Apps, Marketing, Mobile Apps, Social Media, Software, Web Development",Between €1-€100K,2021,https://www.mainbrainer.com/,,NO,
Oamly,https://www.eu-startups.com/directory/oamly/,Norway,"An online tool for home furnishing that translates tastes and budget limitations into a personalized e-commerce experience. Oamly Furnish like a pro, automatically. Furnishing your home doesn't need to be so damn hard. Oamly translates your vision and budget into real products to buy, for free.",,Oslo,"E-Commerce, Information Technology, Mobile, Retail",Between €100K-€500K,2021,https://www.oamly.com/,,NO,
Enode,https://www.eu-startups.com/directory/enode/,Norway,"We build APIs that connect to EVs, home batteries, solar panels and other energy hardware so our customer can build awesome green energy apps. An electricity grid powered by renewable sources needs flexible and intelligent demand. Our flexibility and demand response products are built to support this future.  With Enode’s set of energy hardware APIs you can build apps and services that integrate directly to your customers’ electric vehicles, solar panels or home batteries.",,Oslo,"Developer APIs, Information Services, Information Technology",No funding announced yet,2020,http://www.enode.io,,NO,
SmartEmploy,https://www.eu-startups.com/directory/smartemploy/,Norway,"Our goal is to establish a portal for a simpler and better connection between apprenticeships(businesses) and apprentices, based on compliance between the company's requirements and the apprentice's interests and prerequisites.","Background for the project
Our goal is to establish a portal for a simpler and better connection between apprenticeships(businesses) and apprentices, based on compliance between the company's requirements and the apprentice's interests and prerequisites. Structured mapping and tests will help the apprentices to find out which apprenticeship companies are most relevant, and in parallel contribute to the apprenticeship companies finding apprentices with good prerequisites for success - also among those with a low-grade level and/or a lot of absenteeism.
Grade versus grades - an alternative approach to assessing suitability as an apprentice
Psychometric testing
This is today an established and recognized method in recruitment processes. Used in a matching platform, it lays the foundation for a simpler selection from the learning companies, by giving them access to student profiles that are ranked according to the company's needs.
Who are we?
We are a training office registered in Bærum municipality in Viken.
What are we doing?
Our goal is to develop and operate an apprenticeship portal that helps apprentices in all vocational subjects throughout Norway find the best possible apprenticeship. Recruiting companies and public enterprises to the apprenticeship scheme is an important contribution to achieving the goal. Through greater knowledge of the scheme, help to be approved as an apprenticeship company, and a good matching system in one and the same portal, it should be possible to increase the number from the current 20,000 active apprenticeship companies.
By using psychometric testing, the apprentice will, instead of being assessed largely on grades and absenteeism percentage, be able to present a holistic picture of himself that the company will find interesting.",Hosle,"Education, Apprenticeship",No funding announced yet,2020,https://smartemploy.no,,NO,
Bluefront Equity,https://www.eu-startups.com/directory/bluefront-equity/,Norway,We aim to create the world’s leading impact seafood investor supporting companies with capital and knowledge to help grow the world’s access to sustainable seafood. Bluefront Equity is a pure play seafood private equity firm. Bluefront invests across the seafood value chain in the future of the blue economy.,,Oslo,Investment Management,No funding announced yet,2020,https://www.bluefrontequity.com/,,NO,
Aker Horizons,https://www.eu-startups.com/directory/aker-horizons/,Norway,"Aker Horizons is dedicated to incubating and developing companies that solve fundamental challenges to sustainable existence – or planet-positive investing. We are dedicated group of people working to build leading companies that can meaningfully reduce CO2 emissions and create substantial value over time. Our portfolio includes stakes in Mainstream Renewable Power, Aker Carbon Capture, Aker Offshore Wind and Aker Clean Hydrogen, as well as investments in Rainpower, SuperNode and REC Silicon.",,Akershus,"Incubators, Renewable Energy",Above €25 million,2020,http://www.akerhorizons.com,,NO,
Aker Carbon Capture,https://www.eu-startups.com/directory/aker-carbon-capture/,Norway,"Aker Carbon Capture is a leading carbon capture provider. We strive to mitigate the environmental cost of industry for a brighter, more sustainable future. Our solutions, services and technologies range from capture, conditioning, transport and utilization through to storage of CO2. We have more than two decades of experience and technology development through our legacy as part of the Aker group.",,Akershus,"Consulting, Energy Efficiency, Sustainability",Between €1-€100K,2020,http://www.akercarboncapture.com,,NO,
Your Personal Professor,https://www.eu-startups.com/directory/your-personal-professor/,Norway,"Your Personal Professor is bringing together the most talented educators globally in order to provide personalised academic support for students of all levels, no matter their educational needs.","Your Personal Professor are a group of teachers, mentors, and professionals who are passionate about education. We want to guide the next generation of talented young people and give them the opportunity to fulfill their potential. By taking time to understand each of our clients, we are able to create a bespoke program tailored to their individual requirements and help them achieve the goals they set out.",Oslo,"Tutoring, Online Tutors, Professional Tutors",No funding announced yet,2020,https://yourpersonalprofessor.org/,,NO,
Findable,https://www.eu-startups.com/directory/findable/,Norway,"The first automated workflow for building documentation – powered by AI.
Findable is a SaaS platform that automates document workflows by utilising AI/ML. It allows building owners, operators and general contractors to reduce manual work and increase document quality. This is essential for compliance, sustainability and efficient facility management.",,Oslo,"Artificial Intelligence, Construction, Machine Learning, SaaS",Between €1 million-€ 2.5 million,2020,https://findable.no,,NO,
Shepherd,https://www.eu-startups.com/directory/shepherd/,Norway,"Shepherd is a productivity tool integrating with the calendar and video conferencing to help teams reduce friction and improve meeting efficiency, while also providing a way to instantly synchronise all meeting information with other work tools (Slack, Trello, Notion, CRMs, etc.).","In a nutshell, Shepherd is a meeting productivity tool helping companies set and run structured and productive meetings, without any friction. We then make it intuitive for our user/s to connect all the information from the meeting (e.g. tasks, agendas, notes, documents) to other commonly used tools (e.g. Notion, Trello, CRMs, Slack etc.).
How it works:
a.) Shepherd integrates directly with the work calendar making it simple for the users to navigate between meeting events. Right now the calendar serves as the meeting navigation dashboard, however we're in the process of building out an all-in-one dashboard to give the user the option to navigate from a searchable list of meetings too.
b) The user can create a custom agenda template for each meeting type (e.g. Daily Standup) which can be imported into any meeting within 2 clicks.
c) Shepherd then integrates directly into your video conferencing. This allows the user to read off the pre-set agenda, take collaborative and shared meeting notes, and create new tasks, without navigating away fro the video screen.
d) Then once the meeting is completed, the user can integrate Shepherd with an array of other tools such as Slack, Notion, Trello, to name a few. The user can export note, outcomes, summaries and action items to where they need to be. If the user does not use any other tools, they can lean on Shepherd to provide a home for all of their meeting information.
We're also working on building a range of other features/functionalities such as:
- A visual timer for the agenda
- Microlearning nudges to coach users how to effectively run or attend a meeting (e.g. if a 60-minute meeting does not have an agenda 2 days before the meeting, Shepherd will prompt the meeting lead to create an agenda)
- Tag/sort/categorize meetings so that can easily be accessed at any time
- Meeting transcription to make note-taking simple and hands-free
- AI meeting assistant
- Asynchronous video recordings (with timestamps)
- Other 3rd party integrations
- Analytics and insights (which can be fed back to the user)
- Plus many many more
Essentially, we've created a conduit between the calendar/video and other well-known work tools used by teams. We are complementing existing tools, rather than trying to force a change in workflows and behavior.
Our aim is for Shepherd to be a core part of every team's productivity stack. Shepherd can also be used in distributed and in-person meetings, the only difference being the need for video conferencing.",Oslo,"Productivity, Collaboration, SaaS, Future of Work",Between €100K-€500K,2020,www.meetshepherd.com,,NO,
Videolegevakt,https://www.eu-startups.com/directory/videolegevakt/,Norway,By ordinary people - For ordinary people,Videolegevakt is a Norwegian telehealth startup that provides high-quality healthcare at a very affordable price. Our medical team consists of carefully selected diligent and dedicated individuals with a solid background in clinical medicine and Norwegian authorization who are always happy to help you with any kind of medical questions you have.,Oslo,"Telemedicine, Health Solutions, Healthcare Services, Healthcare",Between €1-€100K,2020,https://www.videolegevakt.no,,NO,
Wamapp,https://www.eu-startups.com/directory/wamapp/,Norway,"As society becomes increasingly disrupted by Covid-19, Wamapp wanted to find an innovative way to show their friends they care whilst also boosting the income of their much loved local, independent stores.

The idea behind WAM is that users buy small virtual gifts for their friends (such as a coffee or muffin from their favourite cafe) which can then be exchanged for the real thing. The businesses get paid for the gifts now and the recipients have something to look forward to - what we call, the double WAM!",,Oslo,"Communication, connection, engagement",,2020,https://www.wamapp.io,,NO,
Infinite Mobility,https://www.eu-startups.com/directory/infinite-mobility-2/,Norway,"Infinite Mobility designs and manufacture Electric Vehicles powered by Solar PV Cells. The company is based in Oslo, Norway. It was founded on Jul 5, 2020.",,Oslo,"Electric Vehicle, Solar Energy, Green Building, GreenTech, Transportation",Between €1-€100K,2020,http://www.infinite-m.com/,,NO,
Campanyon,https://www.eu-startups.com/directory/campanyon/,Norway,"Campanyon aims to make nature accessible to everyone by offering a space where campers and hosts can create meaningful connections with each other, explore their surroundings and share and protect nature.
Through the Campanyon platform, campers and travelers are encouraged to explore and book a from a variety of experiences such as camping sites, RV parks, glamping, cabins, tents, and hammocks. Travelers and hosts can interact with each other before the trip, creating a connection more than just a transaction.",,Oslo,"Camping, Tourism, Travel, Alternative",Between €500K-€ 1 million,2020,http://www.campanyon.com/,,NO,
Infinite Mobility,https://www.eu-startups.com/directory/infinite-mobility/,Norway,"Infinite Mobility develops solar-powered vehicles suited to urban mobility. In particular, the team designs and manufactures lightweight electric vehicles (Tricycle “TukTuk”) powered by Solar PhotoVoltaic (PV) cells for Last-Mile Delivery and Urban Mobility sectors.",,Oslo,"Automotive, Electric Vehicle, Mobility",Between €1-€100K,2020,https://www.infinite-m.com/,,NO,
Scalando,https://www.eu-startups.com/directory/scalando/,Norway,"Scalando is a SaaS solution, designed to help companies drive growth and profitability by empowering their most important asset: People. Partner/Channel GTM Scale. Full-blown Partner Portal. Sales Acceleration Community. Scalando unites all the key business services needed to execute an initiative seamlessly across internal and external execution communities.",,Oslo,"Business Intelligence, SaaS, Gamification",Between €500K-€ 1 million,2020,https://scalando.com/,,NO,
tasti.TECH,https://www.eu-startups.com/directory/tasti-tech/,Norway,"tasti.TECH is an internet company that offers SAAS online ordering systems for restaurants. We live in a world that more than ever demands safety and convenience – mostly enabled by technological innovations. Customers are asking for a safe dining environment, easier ways to order food online, and faster channels for doorstep deliveries.",,Tromso,"Retail Technology, Saas, Restaurants",No funding announced yet,2020,https://tasti.com/,,NO,
Bueno,https://www.eu-startups.com/directory/bueno/,Norway,Bueno Group AS is a Norwegian fintech company with a European focus. The company makes it easy for people to manage their property abroad by combining financial services with innovative solutions and cost savings. It allows you to get get a smart Spanish IBAN account and get full control over your property in Spain.,,Bergen,"Financial Services, Cost Savings, Property Management",Between €1-€100K,2020,https://getbuno.com/,,NO,
FactoryMind,https://www.eu-startups.com/directory/factorymind/,Norway,"We are a Norwegian AI-driven deep-tech startup dedicated to addressing critical manufacturing challenges. We help factories optimize their operations by reducing inefficiencies and minimizing waste through our AI-driven solutions. FactoryMind offers an out-of-the-box low-code platform that requires minimal setup, allowing factories to start optimizing their processes immediately.",,Oslo,"AI, deeptech, software,",Between €1-€100K,2020,https://www.factorymind.ai/,https://www.linkedin.com/company/factorymind/,NO,Active
Wai Genetics,https://www.eu-startups.com/directory/wai-genetics/,Norway,"We're revolutionizing genetic analysis in microbiology and plant biology. Our mission is to stabilize genetic samples, enabling deeper insights and faster discoveries. With cutting-edge techniques, we empower scientists to extract precise information from microbiological and plant genetics. Join us in pushing the boundaries of genomics, unraveling complexities, and accelerating breakthroughs in microbial ecology, agricultural biotech, and sustainable crop improvement.",,Tromsø,"genetic analysis, medtech, biotech",Between €500K-€ 1 million,2020,https://waigenetics.com/,https://www.linkedin.com/company/wai-genetics/,NO,Active
SÃMLÃS,https://www.eu-startups.com/directory/somlos/,Norway,SØMLØS is a high-end Norwegian home-robotics brand dedicated to create a future of more freedom through seamless integration with technology.,"SØMLØS is a product of Norway – a place with a unique society and sense of style. In Norwegian, Sømløs means «seamless», and it reflects our belief in a future of more freedom through seamless integration with technology, which is of vital importance to us. Not only does our products outsource all the repetitive and mundane everyday tasks that take up large sums of our life; it also let ́s us focus more on the better things. The things that we are passionate about. The things that inspire and ignite humanity ́s spirit. The creative, complex and beautiful things only man is capable of.
 - We aim to lead the revolution of how time – humanity's most finite resource, is spent. -",Oslo,"robot, Vacuum cleaner, Lawn Mower,",,2020,www.soemloes.com,,NO,
Solstorm,https://www.eu-startups.com/directory/solstorm/,Norway,"We help space missions optimize for debris mitigation through delivery of End-to-End mission solutions to enable a sustainable orbital environment where research, human spaceflight, and private industry can thrive.",,Trondheim,"Research, Space, Technology",No funding announced yet,2020,https://www.solstorm.io/,,NO,
Morrow Batteries,https://www.eu-startups.com/directory/morrow-batteries/,Norway,"The climate crisis is at a tipping point as our planet is fast approaching an irreversible climate breakdown. If we do not act now, the world as it stands is heading towards a 3 degree increase rather than the critical 1,5 degree goal. There are solutions to our climate crisis. Decarbonisation, electrification and sustainable energy systems. But these pathways need to be enabled now - at industrial scale and with unprecedented speed.   At Morrow, scientific problem solvers are coming together – delivering the batteries we need today and developing the batteries of tomorrow. We are experts from all walks of life. What unites us is the future we are building. A future powered by cost-effective and sustainable batteries.   Becoming Morrow is a journey. As a startup, we are shaped by the world class people who join us to build us. At Morrow, you don't have to fit in to belong and be valued. Your unique perspective coupled with your urge to succeed is our competitive advantage.   Imagine tomorrow powered by us.",,Oslo,"Battery, Electrical Distribution Electronics, Manufacturing",Above €25 million,2020,https://www.morrowbatteries.com,,NO,
7Analytics,https://www.eu-startups.com/directory/7analytics/,Norway,"We use hydrology, geology, and data science to develop high-precision risk tools that help everyone from infrastructure owners to architects plan for imminent and future impacts of climate change.
 
At 7Analytics, we’re committed to building a unique data platform that supports sustainable risk management. All our cubes give customers increased precision and better decision-making power so that our build environment is made and run in efficient and sustainable ways.​",,Bergen,"Information Services, Information Technology",Between €2.5 million-5 million,2020,www.7analytics.no/,,NO,Active
Advokatguiden.no,https://www.eu-startups.com/directory/advokatguiden-no/,Norway,Advokatguiden.no connects great lawyers with new clients.,"Advokatguiden.no connects great lawyers with new clients. Visitors can search and filter available lawyers by location, price, legal practice area and reviews from former clients.",Oslo,"legal, lawyer, law, attorney",,2020,https://www.advokatguiden.no,,NO,
Modulize,https://www.eu-startups.com/directory/modulize/,Norway,"Modulize is a tool that extracts and designs prefab components from building models. They aim to increase the use of prefabrication in construction. Prefabrication and modular construction allow us to reduce time, cost and waste in construction projects. To unlock the full potential of prefabrication, Modulize will enable simplified information extraction from complex 3D building models.",,Oslo,"Construction, Information Technology, Software",Between €100K-€500K,2020,https://modulize.io/,,NO,
Metzum,https://www.eu-startups.com/directory/metzum/,Norway,"Metzum is a Norwegian company that develops solutions for streamlining business processes for players in the power market. It renders software development and cloud-based solutions intended for power and energy industries. The company is based in Bergen, Norway.",,Bergen,"Cloud Computing, Energy, Industrial, Software",No funding announced yet,2020,www.metzum.no/,,NO,
Lunsj,https://www.eu-startups.com/directory/lunsj/,Norway,Lunsj is a business process automation platform that automates routine knowledge sharing and social connection among employees. It makes it simple for organizations to design and implement customized community building programs and knowledge sharing initiatives at scale. Lunsj helps enterprise companies and distributed teams engage their relational assets at scale using artificial intelligence.,,Oslo,"B2B, Human Resources, SaaS, Software",No funding announced yet,2020,https://www.lunsj.ai/,,NO,
Plaace,https://www.eu-startups.com/directory/plaace/,Norway,"Plaace gathers data from a variety of sources in order to suggest the right concept, property, or area explore. Plaace delivers a data-driven platform to match retail tenants and retail properties.

By using external data sources and analytics, the platform allows tenants to establish themselves in the best possible locations, and property owners can choose the concepts that are best suited to their property.",,Oslo,"SaaS, retail properties, platform",Between €1 million-€ 2.5 million,2020,https://plaace.co/,,NO,
Heaten,https://www.eu-startups.com/directory/heaten/,Norway,"Heaten accelerates the transition to clean and efficient industrial heat processes through continuous technology, digitalisation and business innovation. The company has 8 years of R&D, design and engineering experience, and 3 years head start on the competition. It turns deep R&D insights into renewable power to heat solutions.",,Kristiansand,"Energy Efficiency, Industrial, Renewable Energy",Between €100K-€500K,2020,https://www.heaten.com/,,NO,
Campio,https://www.eu-startups.com/directory/acamp/,Norway,Campio is the largest camping community in the Nordics - connecting campers with campsites and experiences through digital solutions.,"Since we ourselves are campers, we are now creating the service we have always lacked. Finding a great place to camp is often both time-consuming and frustrating given the abundance of apps, guides and magazines that already exist. With the help of a common marketplace, Campio now brings together today's curious campers with small businesses and local landowners who have a place to rent. We want to create the best possible service so that you can find new inspiring places, at the same time as we want to contribute to the local economy.
In 2024, Campio acquired Swedish Acamp to consolidate its position as the leading Nordic platform for Camping.",Oslo,"camping, rv, travel, marketplace",Between €500K-€ 1 million,2020,https://campio.no/,https://www.linkedin.com/company/gocampio/,NO,Active
Glint Solar,https://www.eu-startups.com/directory/glint-solar/,Norway,"Glint Solar is accelerating the floating solar revolution by using satellite data to conduct comprehensive pre-feasibility studies on the water body or coast line. The company has a team that combines the best of solar expertise, machine learning and business acumen. Glint Solar de-risks floating solar projects by providing solar developers with high quality data from the project's beginning.",,Oslo,"Artificial Intelligence, Machine Learning, Renewable Energy, Software",Between €1-€100K,2020,https://www.glintsolar.co/,,NO,
Savvie,https://www.eu-startups.com/directory/savvie/,Norway,"Boost profitability,
streamline operations,
and reduce waste
- with the right insights at  your fingertips
Smarter operations, less guessing
Savvie crunches your numbers and translates them into bite-sized actions
- empowering you to make smarter decisions for your business while doing good things for the planet.
Savvie is a user-friendly mobile-first digital assistant which will contribute to the triple bottom line of helping businesses, society, and the planet. Our app for business optimization leverages data and machine learning models to help food businesses make the right decisions for improving their operations and increase profitability while reducing waste at its source. Savvie will allow users to optimize forecasting, waste tracking, scheduling, production planning, and inventory management. Our app is highly intuitive, requires no training, and users can be onboarded within minutes. Our vision is to become a one-stop-shop for store management by empowering users to build more sustainable food businesses.",,Oslo,"mobile-first digital, machine learning, forecasting, one-stop-shop",Between €5 million-€10 million,2020,https://www.savvie.io/,,NO,
Flow Bio,https://www.eu-startups.com/directory/flow-bio/,Norway,"Flow Bio is a London based company and the developer of  flowPATCH, a real-time hydration sensor. sensor is a wearable, non-invasive patch that captures an athlete’s sweat and interprets key bio-markers in real-time, starting with electrolytes and total body fluid loss. The company provides users with personalized recommendations that enables them to improve their performance.",,London,"Biotechnology, Consumer Electronics, Wearables",Between €100K-€500K,2020,www.flowbio.com,,NO,
Speiz,https://www.eu-startups.com/directory/speiz/,Norway,"Data-driven Warehouse and Logistics Space leasing
We aggregate market information
from multiple data sources to optimize the warehouse and logistics space market.
We are a highly driven team
of serial entrepreneurs and
industry experts.",,Oslo,"warehouse, logistics, leasing",No funding announced yet,2020,https://www.speiz.com/,,NO,
Cimon Medical,https://www.eu-startups.com/directory/cimon-medical/,Norway,"Cimon Medical develops and manufactures novel Doppler ultrasound technology for healthcare. The company aims to become a market leader in continuous direct monitoring of blood-flow. They are based in Trondheim, Norway.",,Trondheim,"Medical Device, Technology,  Medical & Health",Between €5 million-€10 million,2020,cimonmedical.com/,,NO,
UrbanDataLab,https://www.eu-startups.com/directory/urbandatalab/,Norway,"UrbanDataLab is a B2B web service offering advanced location analytics and customized business intelligence to enable smarter location-based business decisions on a global scale. A decision support tool that enables real-estate managers to take strategic location-based business decisions, anywhere. Our modules support different processes in real-estate management and can be linked or be used separately.",,Adliswil,"B2B web service, location analytics, strategic location-based, real-estate",Between €100K-€500K,2020,https://urbandatalab.ch/,,NO,
Wanda.space,https://www.eu-startups.com/directory/wanda-space/,Norway,"We are a technology & logistics start-up delivering space as a service in an ultra convenient and affordable way making extra space available to everyone, anytime. We are passionate about creating a service that gives people more room for the things in life that they really care about - family, a nice place to work, your favourite sporting gear or those memories which are so important to you. A sustainable business model is at the core of what we do. Real estate & construction stand for 40% of energy related CO2 emissions. Increasing the utilization of existing buildings is one of the most effective ways to reduce future C02 emissions. Wanda uses technology and logistics to transform unused space into efficient & sustainable storage facilities.",,Oslo,"Logistics, Real Estate, Transportation",Between €5 million-€10 million,2020,https://wanda.space/,,NO,
Volue,https://www.eu-startups.com/directory/volue/,Norway,"Volue is a leading technology supplier and enabler for Europe’s green energy transition. We offer software, hardware and expertise to make the green shift from fossil to renewable energy possible. Our industrial platforms and a wide range of software solutions automate and optimise energy production, trading, distribution, and consumption. Through this approach, we enable the green transition and increase revenues and yield for our customers. We also provide market-leading solutions and technology for the municipalities, water, infrastructure construction, defence, transport, maritime, and offshore. Volue is publicly listed on Oslo Stock Exchange under the ticker symbol VOLUE. Headquartered in Oslo, Norway, the group's companies have offices in Norway, Sweden, Denmark, Finland, Germany, Switzerland, Poland, and Turkey.",,Oslo,"Energy, Information Services, Information Technology, Power Grid",No funding announced yet,2020,http://www.volue.com,,NO,
Two,https://www.eu-startups.com/directory/two/,Norway,"Two is fixing b-commerce. We have started with payments, now enabling merchants to offer Buy Now, Pay Later to their business customers instantly at check-out. We work relentlessly to make it is as simple to buy for your business as it is for an end-consumer to shop online. Over the long term, we aim to contribute to tens of millions of new jobs by removing accounts receivables from the millions of SMB businesses that at any given point in time are waiting to get paid for products and services they already have delivered.",,Oslo,"B2B, E-Commerce, Financial Services, FinTech, Payments",Between €2.5 million-5 million,2020,https://www.two.inc/,,NO,
Travelin.ai,https://www.eu-startups.com/directory/travelin-ai/,Norway,"COVID-19 introduced the world to the concept of ""working from home"" and it forced businesses to provide their employees with the latest collaboration technologies to work remotely. The next natural step from ""working from home"" is ""work from anywhere"". Business and Leisure Travel no longer just exist in silos but are intertwined. The purpose of Travelin.ai is to offer the next generation Corporate Travel Management Platform which reflects the true way we live, work and travel. Subsequently, Travelin.ai will enable businesses to gain a competitive edge to retain and attract talent.",,Oslo,"Business Travel, SaaS, Software",Between €500K-€ 1 million,2020,https://travelin.ai/,,NO,
TribeShares,https://www.eu-startups.com/directory/tribeshares/,Norway,"For entrepreneurs, the crazy ones who dare to take on the challenge to change the world for the better, their investors, contributors and tribes; Unlisted provides them with a toolkit and marketplace to launch, grow and thrive. The unique incentive-based solution provides all stakeholders with a secure platform for value alignment and with room to grow from inception to fruition.",,Stavanger,"Financial Services, Finances, Investment",No funding announced yet,2020,https://www.tribeshares.io/,,NO,
TRY Pearl,https://www.eu-startups.com/directory/try-pearl/,Norway,"We are a design and technology company that helps our customers create better and more customer-focused digital services. In recent years, buzzwords such as digitization and digital transformation have been on everyone's lips - but not without reason. As a result of the corona pandemic, 2020 was the year that accelerated the digitalisation of society at record speed. The need to build new and good digital solutions has never been greater. Here at TRY Pearl, we want to make a difference.  One of the challenges today is the silo thinking between different disciplines, such as technology, marketing and communication. Everyone loses this. We take on the job of understanding the depth and breadth of the possibilities in technology and marketing, so that you can focus on what makes your company unique.",,Oslo,"CRM, E-Commerce, Marketing",No funding announced yet,2020,https://www.trypearl.no,,NO,
Storeshop,https://www.eu-startups.com/directory/storeshop/,Norway,"Storeshop is a B2B online store that allows users to sell, market, and distribute products from one business to another. Save time and resources with business-to-business online store from Storeshop. Set up your own online store that customers can shop from. Make the buying process practical, simple and fast.",,Oslo,"E-Commerce, Information Technology, Marketplace, Software, Web Development",Between €5 million-€10 million,2020,https://storeshop.io/,,NO,
Solgt no,https://www.eu-startups.com/directory/solgt-no/,Norway,"Solgt no is a real estate agency that helps to pay a fixed service fee and can sell the home easily and without stress. Our goal is to transform a stressful and long process into a few clicks via a website. Solgt.no was launched at the end of 2020 and has had enormous growth ever since. The vision of the company is to simplify the entire housing journey, which today can be tiring and heavy. We work day in and day out to change the way you sell a home, and have come a long way since the start. After many transactions, we have simplified the everyday life of many Norwegians who do not have time to complicate the home sales process.",,Oslo,"Real Estate, Digital, Housing Market",No funding announced yet,2020,http://www.solgt.no,,NO,
SentiSystems,https://www.eu-startups.com/directory/sentisystems/,Norway,"SentiSystems offers a novel platform solution for real-time sensor data processing. We start our journey with sensor integration for autonomous operations, but the versatility of our platform makes it suitable for a variety of other intelligent applications such as mapping, monitoring and surveillance systems. Developing sensor fusion systems is time consuming and cost intensive due to hardware development and integration being more comprehensive, requiring expertise in several domains, and requiring access to lab facilities. The state-of-the-art is to develop proprietary solutions that have to be altered each time one of the sensors of the navigation system is modified. Our high-precision navigation and sensor fusion platform is independent of the sensors chosen to equip our customers for fast development of new autonomous solutions. Due to the high performace real-time data processing capabilities our customer’s sensor system data gets accessible and hence more valueable.",,Trondheim,"Mapping Services, Navigation, Sensor",No funding announced yet,2020,http://www.sentisystems.com,,NO,
Scoopr,https://www.eu-startups.com/directory/scoopr/,Norway,"Refinancing is about consolidating small loans into a more favorable joint loan. But what does it really mean, and how do you do it? We guide you through what you need to know about refinancing. Do you have more than one loan? Then you are not alone. Mortgages and car loans are common, and in addition we often have consumer loans and credit cards. The disadvantage of this type of small loan is that they are usually expensive. Then it is wise to look at a refinancing - there can be thousands to save every month. But let's take a deep dive into what refinancing is.",,Oslo,"Advice, Financial Services, Insurance",No funding announced yet,2020,https://aconto.no,,NO,
